id,host_verifications,amex,email,facebook,google,jumio,kba,linkedin,manual_offline,manual_online,phone,reviews,sent_id,weibo,number_of_host_verifications
8163273,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
3903324,"['email', 'phone', 'manual_online', 'reviews', 'manual_offline', 'kba']",0,1,0,0,0,1,0,1,1,1,1,0,0,6
13733558,"['email', 'phone', 'facebook', 'reviews', 'jumio']",0,1,1,0,1,0,0,0,0,1,1,0,0,5
8097453,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
14798497,"['email', 'phone', 'reviews', 'kba']",0,1,0,0,0,1,0,0,0,1,1,0,0,4
12652181,"['email', 'phone', 'linkedin', 'reviews', 'jumio']",0,1,0,0,1,0,1,0,0,1,1,0,0,5
8146576,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
10113230,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
6983246,"['email', 'phone', 'reviews', 'kba']",0,1,0,0,0,1,0,0,0,1,1,0,0,4
6409811,"['email', 'phone', 'facebook', 'amex', 'reviews', 'kba']",1,1,1,0,0,1,0,0,0,1,1,0,0,6
13078025,"['email', 'phone', 'linkedin', 'amex', 'reviews', 'kba']",1,1,0,0,0,1,1,0,0,1,1,0,0,6
180914,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
951480,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
